control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W2,13,empirical,-0.0719078243126543,0.13112449440237486
zero,W2,14,empirical,0.22400406531429362,0.2329660343057105
zero,W2,15,empirical,-0.22536883546152398,2.9370030038054e-05
zero,W2,16,empirical,0.21651422156735656,0.62551447090772
zero,W2,17,empirical,0.367275852816328,0.8387196533166567
zero,W2,18,empirical,0.15745379358418843,0.3125764001287537
zero,W2,19,empirical,0.3886627223216008,0.07516401742698701
zero,W2,20,empirical,-0.22491833161634678,0.001227458359954194
zero,W2,21,empirical,0.14690042002464,0.526279904600325
zero,W2,22,empirical,0.24340895877272994,0.598445785536443
zero,W2,23,empirical,0.6602588972201915,0.12422673492893198
zero,W2,24,empirical,0.5343309334001813,0.5672510650582416
zero,W2,25,empirical,0.17804372777601185,0.36740927107184446
zero,W2,26,empirical,-0.21582825066716138,0.013006042990995188
zero,W2,27,empirical,0.5397347192068573,0.1559509063221959
zero,W2,28,empirical,0.15070864504194303,0.4471927136775191
zero,W2,29,empirical,0.22994823073823079,0.12071560112227474
zero,W2,30,empirical,-0.11615431335959014,0.15504914043669504
zero,W2,31,empirical,-0.22398351524839155,0.002556668164463869
zero,W2,0,oracle,-0.9568696680297548,0.25860305069605277
zero,W2,1,oracle,-0.3817267013643865,0.2569391128485944
zero,W2,2,oracle,-0.4684241416025503,0.36629777320374246
zero,W2,3,oracle,-0.683552646610267,0.26759106211118794
zero,W2,4,oracle,-0.9572832820112822,0.8080706494460406
zero,W2,5,oracle,-0.4679581790795062,0.19400320807127622
zero,W2,6,oracle,-0.27338299131343674,0.09917051540722881
zero,W2,7,oracle,-0.394952987211559,0.2638658095609005
zero,W2,8,oracle,-0.3410543295029793,0.026670495308555864
zero,W2,9,oracle,-0.2724762484366531,0.10769839908002925
zero,W2,10,oracle,-0.7387630414684812,0.2369531584770764
zero,W2,11,oracle,-0.4571104653733063,0.36914102068567284
zero,W2,12,oracle,-0.314323666495386,0.1565105320468736
